CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Flag,Latest Date?
Guam,GUM,,,NAT_TOTAL,20210104,2,1,2,1,2,1,4,1,0,,1,1,1,1,2,1,0,1,0,0,2,1,3,2,0,0,3,1,0,,,7344,122,62.96,62.96,66.67,66.67,61.11,61.11,64.74,64.74,37.5,37.5,FALSE,20210104
Guyana,GUY,,,NAT_TOTAL,20201228,2,1,1,1,2,1,4,1,1,1,2,1,2,0,1,0,,1,0,0,2,1,2,2,0,0,3,1,0,,,6298,164,68.52,68.52,70.24,70.24,60.56,60.56,66.03,66.03,25,25,FALSE,20201228
Honduras,HND,,,NAT_TOTAL,20201214,3,1,2,1,2,1,4,1,2,1,2,1,2,1,2,1,1,2,0,0,2,1,1,1,0,0,3,1,,,,114642,2989,87.04,87.04,89.29,89.29,72.78,72.78,72.44,72.44,75,75,FALSE,20201214
Croatia,HRV,,,NAT_TOTAL,20201231,1,1,2,1,1,1,4,1,0,,0,,0,,1,1,0,2,0,0,2,1,3,2,0,0,3,1,0,,,210837,3920,41.67,41.67,50,50,51.67,51.67,50,50,62.5,62.5,FALSE,20201231
Haiti,HTI,,,NAT_TOTAL,20210104,1,1,0,,0,,3,1,0,,0,,0,,2,1,1,1,0,0,2,1,2,1,0,0,3,1,0,,,10127,236,28.7,28.7,40,40,36.67,36.67,34.62,34.62,50,50,FALSE,20210104
Hungary,HUN,,,NAT_TOTAL,20210102,2,1,2,1,2,1,4,1,1,1,2,1,0,,4,1,0,1,0,0,2,1,2,1,0,0,2,1,1,1,,326688,9781,72.22,72.22,84.52,84.52,60.78,60.78,64.36,64.36,37.5,37.5,FALSE,20210102
Indonesia,IDN,,,NAT_TOTAL,20210104,2,0,2,0,2,0,4,0,1,0,1,0,2,1,3,1,0,1,0,0,2,1,1,1,0,0,4,1,0,,,772103,22911,64.35,64.35,69.76,69.76,55.83,55.83,58.65,58.65,37.5,37.5,FALSE,20210104
India,IND,,,NAT_TOTAL,20201220,3,0,2,0,2,0,4,0,1,1,2,0,1,1,3,0,,2,0,0,2,1,2,2,0,0,4,0,0,,,10055560,145810,68.98,68.98,73.33,73.33,65,65,67.31,67.31,50,50,FALSE,20201220
Ireland,IRL,,,NAT_TOTAL,20210104,2,1,2,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,0,0,2,1,2,2,0,0,2,1,0,,,107997,2265,69.44,69.44,80.95,80.95,66.11,66.11,64.74,64.74,75,75,FALSE,20210104
Iran,IRN,,,NAT_TOTAL,20201215,3,0,3,0,2,1,4,0,1,1,1,1,2,0,3,1,0,1,0,0,1,1,1,1,0,0,1,0,0,,,1123474,52670,70.83,70.83,75,75,53.89,53.89,56.41,56.41,37.5,37.5,FALSE,20201215
